"";"Temperature";"Temperature";"Temperature";"Dew Point";"Dew Point";"Dew Point";"Humidity";"Humidity";"Humidity";"Speed";"Speed";"Speed";"Pressure";"Pressure";"Precip. Accum.";"url"
"Date";"High";"Avg";"Low";"High";"Avg";"Low";"High";"Avg";"Low";"High";"Avg";"Low";"High";"Low";"Sum";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/1/2024";"73.5ʡF";"58.9ʡF";"53.9ʡF";"59.9ʡF";"54.5ʡF";"51.6ʡF";"96ʡ%";"86ʡ%";"50ʡ%";"8.9ʡmph";"0.9ʡmph";"0.0ʡmph";"30.03ʡin";"29.92ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/2/2024";"73.9ʡF";"58.5ʡF";"53.4ʡF";"60.4ʡF";"54.4ʡF";"52.1ʡF";"96ʡ%";"87ʡ%";"51ʡ%";"12.9ʡmph";"1.7ʡmph";"0.0ʡmph";"30.02ʡin";"29.91ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/3/2024";"75.9ʡF";"59.5ʡF";"54.6ʡF";"58.2ʡF";"53.8ʡF";"49.4ʡF";"94ʡ%";"84ʡ%";"41ʡ%";"10.5ʡmph";"1.4ʡmph";"0.0ʡmph";"30.02ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/4/2024";"72.8ʡF";"57.3ʡF";"51.2ʡF";"59.3ʡF";"52.5ʡF";"49.1ʡF";"94ʡ%";"85ʡ%";"49ʡ%";"9.6ʡmph";"1.5ʡmph";"0.0ʡmph";"30.04ʡin";"29.94ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/5/2024";"73.0ʡF";"58.0ʡF";"48.3ʡF";"58.2ʡF";"52.6ʡF";"47.1ʡF";"96ʡ%";"84ʡ%";"50ʡ%";"9.1ʡmph";"1.1ʡmph";"0.0ʡmph";"30.03ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/6/2024";"76.6ʡF";"58.7ʡF";"51.8ʡF";"58.1ʡF";"53.4ʡF";"50.1ʡF";"96ʡ%";"84ʡ%";"44ʡ%";"7.6ʡmph";"0.7ʡmph";"0.0ʡmph";"30.00ʡin";"29.86ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/7/2024";"69.6ʡF";"57.7ʡF";"47.8ʡF";"53.9ʡF";"49.9ʡF";"45.8ʡF";"96ʡ%";"78ʡ%";"45ʡ%";"8.2ʡmph";"0.8ʡmph";"0.0ʡmph";"29.99ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/8/2024";"77.7ʡF";"60.4ʡF";"53.0ʡF";"58.6ʡF";"52.6ʡF";"47.1ʡF";"93ʡ%";"78ʡ%";"37ʡ%";"9.3ʡmph";"1.1ʡmph";"0.0ʡmph";"30.00ʡin";"29.86ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/9/2024";"70.3ʡF";"58.1ʡF";"54.6ʡF";"59.3ʡF";"54.5ʡF";"52.7ʡF";"96ʡ%";"88ʡ%";"63ʡ%";"7.8ʡmph";"0.5ʡmph";"0.0ʡmph";"30.00ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/10/2024";"76.6ʡF";"60.6ʡF";"54.3ʡF";"61.3ʡF";"54.3ʡF";"47.8ʡF";"96ʡ%";"82ʡ%";"39ʡ%";"10.0ʡmph";"1.3ʡmph";"0.0ʡmph";"30.01ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/11/2024";"71.7ʡF";"57.2ʡF";"50.3ʡF";"57.7ʡF";"51.9ʡF";"47.8ʡF";"96ʡ%";"84ʡ%";"46ʡ%";"8.9ʡmph";"1.1ʡmph";"0.0ʡmph";"30.02ʡin";"29.92ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/12/2024";"75.9ʡF";"58.5ʡF";"51.8ʡF";"56.8ʡF";"52.5ʡF";"47.1ʡF";"96ʡ%";"83ʡ%";"38ʡ%";"9.6ʡmph";"1.0ʡmph";"0.0ʡmph";"30.02ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/13/2024";"78.6ʡF";"59.7ʡF";"52.8ʡF";"59.7ʡF";"53.4ʡF";"47.3ʡF";"96ʡ%";"82ʡ%";"37ʡ%";"8.9ʡmph";"1.3ʡmph";"0.0ʡmph";"30.03ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/14/2024";"73.5ʡF";"57.8ʡF";"47.3ʡF";"59.1ʡF";"53.0ʡF";"46.4ʡF";"97ʡ%";"86ʡ%";"49ʡ%";"7.8ʡmph";"0.8ʡmph";"0.0ʡmph";"30.04ʡin";"29.88ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/15/2024";"69.4ʡF";"58.8ʡF";"53.2ʡF";"58.4ʡF";"53.5ʡF";"50.5ʡF";"96ʡ%";"83ʡ%";"57ʡ%";"7.3ʡmph";"0.7ʡmph";"0.0ʡmph";"30.00ʡin";"29.88ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/16/2024";"65.3ʡF";"57.5ʡF";"53.4ʡF";"55.5ʡF";"53.2ʡF";"51.4ʡF";"95ʡ%";"86ʡ%";"65ʡ%";"6.9ʡmph";"0.7ʡmph";"0.0ʡmph";"30.00ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/17/2024";"68.9ʡF";"58.6ʡF";"53.7ʡF";"57.2ʡF";"53.6ʡF";"52.3ʡF";"95ʡ%";"84ʡ%";"60ʡ%";"7.6ʡmph";"0.9ʡmph";"0.0ʡmph";"30.01ʡin";"29.92ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/18/2024";"67.2ʡF";"57.7ʡF";"50.5ʡF";"55.7ʡF";"52.8ʡF";"48.3ʡF";"95ʡ%";"85ʡ%";"61ʡ%";"7.1ʡmph";"0.7ʡmph";"0.0ʡmph";"30.02ʡin";"29.93ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/19/2024";"68.3ʡF";"57.8ʡF";"47.3ʡF";"56.3ʡF";"51.1ʡF";"45.6ʡF";"95ʡ%";"80ʡ%";"49ʡ%";"7.8ʡmph";"0.9ʡmph";"0.0ʡmph";"30.02ʡin";"29.91ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/20/2024";"68.0ʡF";"58.1ʡF";"49.4ʡF";"58.8ʡF";"51.8ʡF";"47.3ʡF";"95ʡ%";"81ʡ%";"59ʡ%";"7.8ʡmph";"1.0ʡmph";"0.0ʡmph";"30.00ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/21/2024";"68.5ʡF";"58.9ʡF";"52.5ʡF";"57.0ʡF";"52.7ʡF";"50.1ʡF";"93ʡ%";"81ʡ%";"56ʡ%";"7.8ʡmph";"0.9ʡmph";"0.0ʡmph";"30.03ʡin";"29.93ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/22/2024";"69.6ʡF";"59.3ʡF";"49.8ʡF";"54.6ʡF";"51.1ʡF";"47.4ʡF";"94ʡ%";"76ʡ%";"51ʡ%";"8.0ʡmph";"1.0ʡmph";"0.0ʡmph";"30.04ʡin";"29.94ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/23/2024";"76.6ʡF";"61.7ʡF";"50.7ʡF";"55.9ʡF";"51.9ʡF";"48.0ʡF";"92ʡ%";"72ʡ%";"40ʡ%";"7.1ʡmph";"1.0ʡmph";"0.0ʡmph";"30.04ʡin";"29.93ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/24/2024";"77.7ʡF";"62.2ʡF";"46.4ʡF";"54.6ʡF";"49.2ʡF";"37.0ʡF";"94ʡ%";"68ʡ%";"26ʡ%";"7.3ʡmph";"0.9ʡmph";"0.0ʡmph";"30.02ʡin";"29.93ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/25/2024";"80.0ʡF";"56.6ʡF";"38.1ʡF";"59.0ʡF";"47.2ʡF";"37.0ʡF";"96ʡ%";"76ʡ%";"28ʡ%";"8.0ʡmph";"0.8ʡmph";"0.0ʡmph";"30.03ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/26/2024";"79.3ʡF";"57.9ʡF";"40.2ʡF";"57.7ʡF";"48.7ʡF";"39.0ʡF";"96ʡ%";"77ʡ%";"31ʡ%";"6.7ʡmph";"0.5ʡmph";"0.0ʡmph";"30.04ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/27/2024";"81.6ʡF";"58.8ʡF";"44.9ʡF";"59.5ʡF";"50.8ʡF";"43.3ʡF";"95ʡ%";"79ʡ%";"31ʡ%";"9.3ʡmph";"0.9ʡmph";"0.0ʡmph";"30.05ʡin";"29.91ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/28/2024";"79.3ʡF";"60.7ʡF";"47.8ʡF";"60.6ʡF";"52.2ʡF";"46.2ʡF";"95ʡ%";"77ʡ%";"32ʡ%";"10.7ʡmph";"1.0ʡmph";"0.0ʡmph";"30.05ʡin";"29.91ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/29/2024";"77.3ʡF";"60.9ʡF";"51.9ʡF";"58.1ʡF";"53.3ʡF";"48.7ʡF";"95ʡ%";"79ʡ%";"42ʡ%";"6.4ʡmph";"0.8ʡmph";"0.0ʡmph";"30.04ʡin";"29.92ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/30/2024";"80.6ʡF";"60.8ʡF";"47.6ʡF";"60.9ʡF";"51.8ʡF";"42.0ʡF";"96ʡ%";"77ʡ%";"26ʡ%";"8.0ʡmph";"1.1ʡmph";"0.0ʡmph";"30.04ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"1/31/2024";"77.3ʡF";"60.1ʡF";"53.6ʡF";"58.2ʡF";"54.1ʡF";"49.6ʡF";"95ʡ%";"82ʡ%";"40ʡ%";"11.4ʡmph";"0.8ʡmph";"0.0ʡmph";"30.03ʡin";"29.91ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-01-12/2024-01-12/monthly"
"Date";"High";"Avg";"Low";"High";"Avg";"Low";"High";"Avg";"Low";"High";"Avg";"Low";"High";"Low";"Sum";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/1/2024";"73.0ʡF";"60.9ʡF";"52.1ʡF";"56.8ʡF";"53.3ʡF";"50.3ʡF";"94ʡ%";"78ʡ%";"49ʡ%";"7.3ʡmph";"0.5ʡmph";"0.0ʡmph";"30.04ʡin";"29.93ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/2/2024";"76.6ʡF";"59.0ʡF";"51.2ʡF";"59.3ʡF";"53.0ʡF";"46.9ʡF";"95ʡ%";"83ʡ%";"40ʡ%";"10.0ʡmph";"1.1ʡmph";"0.0ʡmph";"30.04ʡin";"29.91ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/3/2024";"76.2ʡF";"59.6ʡF";"52.7ʡF";"60.0ʡF";"53.9ʡF";"50.5ʡF";"96ʡ%";"83ʡ%";"46ʡ%";"8.2ʡmph";"0.8ʡmph";"0.0ʡmph";"30.02ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/4/2024";"67.4ʡF";"57.8ʡF";"50.9ʡF";"57.2ʡF";"52.4ʡF";"50.0ʡF";"96ʡ%";"83ʡ%";"58ʡ%";"0.0ʡmph";"0.0ʡmph";"0.0ʡmph";"30.00ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/5/2024";"69.6ʡF";"56.5ʡF";"48.2ʡF";"56.8ʡF";"52.1ʡF";"46.9ʡF";"96ʡ%";"86ʡ%";"54ʡ%";"8.7ʡmph";"0.4ʡmph";"0.0ʡmph";"30.03ʡin";"29.93ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/6/2024";"69.8ʡF";"55.0ʡF";"44.4ʡF";"55.0ʡF";"48.7ʡF";"43.3ʡF";"96ʡ%";"82ʡ%";"49ʡ%";"7.3ʡmph";"0.3ʡmph";"0.0ʡmph";"30.07ʡin";"29.92ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/7/2024";"75.7ʡF";"58.6ʡF";"49.1ʡF";"59.9ʡF";"53.3ʡF";"48.0ʡF";"96ʡ%";"84ʡ%";"42ʡ%";"5.5ʡmph";"0.5ʡmph";"0.0ʡmph";"30.04ʡin";"29.91ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/8/2024";"73.9ʡF";"58.0ʡF";"45.8ʡF";"57.5ʡF";"50.6ʡF";"44.7ʡF";"97ʡ%";"80ʡ%";"44ʡ%";"6.7ʡmph";"0.8ʡmph";"0.0ʡmph";"30.03ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/9/2024";"74.1ʡF";"57.6ʡF";"48.5ʡF";"56.6ʡF";"51.4ʡF";"47.4ʡF";"96ʡ%";"82ʡ%";"46ʡ%";"6.0ʡmph";"0.6ʡmph";"0.0ʡmph";"30.03ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/10/2024";"69.2ʡF";"57.1ʡF";"46.5ʡF";"57.2ʡF";"51.7ʡF";"44.7ʡF";"95ʡ%";"84ʡ%";"54ʡ%";"5.8ʡmph";"0.6ʡmph";"0.0ʡmph";"30.03ʡin";"29.91ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/11/2024";"77.7ʡF";"58.7ʡF";"45.3ʡF";"57.7ʡF";"50.7ʡF";"44.0ʡF";"96ʡ%";"78ʡ%";"38ʡ%";"7.8ʡmph";"1.1ʡmph";"0.0ʡmph";"30.02ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/12/2024";"75.3ʡF";"60.2ʡF";"52.7ʡF";"59.9ʡF";"54.5ʡF";"49.6ʡF";"96ʡ%";"84ʡ%";"43ʡ%";"8.0ʡmph";"0.6ʡmph";"0.0ʡmph";"30.01ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/13/2024";"71.4ʡF";"59.9ʡF";"53.2ʡF";"57.3ʡF";"53.5ʡF";"51.0ʡF";"96ʡ%";"81ʡ%";"52ʡ%";"6.7ʡmph";"0.4ʡmph";"0.0ʡmph";"30.02ʡin";"29.91ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/14/2024";"73.5ʡF";"60.4ʡF";"55.0ʡF";"57.5ʡF";"53.2ʡF";"49.6ʡF";"92ʡ%";"79ʡ%";"48ʡ%";"7.8ʡmph";"0.9ʡmph";"0.0ʡmph";"30.03ʡin";"29.94ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/15/2024";"69.9ʡF";"58.9ʡF";"51.8ʡF";"57.9ʡF";"52.2ʡF";"48.9ʡF";"92ʡ%";"79ʡ%";"56ʡ%";"7.1ʡmph";"0.5ʡmph";"0.0ʡmph";"30.04ʡin";"29.96ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/16/2024";"72.3ʡF";"60.4ʡF";"53.4ʡF";"57.7ʡF";"53.4ʡF";"50.7ʡF";"93ʡ%";"79ʡ%";"52ʡ%";"7.1ʡmph";"0.5ʡmph";"0.0ʡmph";"30.03ʡin";"29.91ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/17/2024";"75.2ʡF";"60.7ʡF";"53.9ʡF";"60.0ʡF";"53.7ʡF";"50.5ʡF";"93ʡ%";"79ʡ%";"45ʡ%";"8.0ʡmph";"0.2ʡmph";"0.0ʡmph";"30.02ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/18/2024";"74.4ʡF";"59.8ʡF";"48.9ʡF";"57.2ʡF";"51.5ʡF";"47.6ʡF";"96ʡ%";"77ʡ%";"42ʡ%";"0.0ʡmph";"0.0ʡmph";"0.0ʡmph";"30.03ʡin";"29.92ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/19/2024";"75.9ʡF";"59.6ʡF";"47.8ʡF";"59.0ʡF";"53.7ʡF";"46.5ʡF";"96ʡ%";"83ʡ%";"38ʡ%";"0.0ʡmph";"0.0ʡmph";"0.0ʡmph";"30.05ʡin";"29.94ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/20/2024";"69.2ʡF";"57.6ʡF";"52.3ʡF";"58.8ʡF";"53.8ʡF";"50.5ʡF";"95ʡ%";"88ʡ%";"56ʡ%";"0.0ʡmph";"0.0ʡmph";"0.0ʡmph";"30.07ʡin";"29.96ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/21/2024";"69.0ʡF";"56.6ʡF";"48.9ʡF";"57.2ʡF";"51.8ʡF";"45.1ʡF";"96ʡ%";"85ʡ%";"47ʡ%";"12.0ʡmph";"1.6ʡmph";"0.0ʡmph";"30.06ʡin";"29.94ʡin";"0.01ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/22/2024";"69.8ʡF";"56.1ʡF";"45.6ʡF";"56.8ʡF";"50.3ʡF";"43.8ʡF";"95ʡ%";"82ʡ%";"55ʡ%";"12.0ʡmph";"1.7ʡmph";"0.0ʡmph";"30.02ʡin";"29.88ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/23/2024";"73.4ʡF";"55.4ʡF";"41.9ʡF";"56.8ʡF";"48.3ʡF";"40.6ʡF";"95ʡ%";"80ʡ%";"37ʡ%";"11.8ʡmph";"1.3ʡmph";"0.0ʡmph";"30.02ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/24/2024";"78.2ʡF";"56.0ʡF";"41.7ʡF";"56.8ʡF";"47.8ʡF";"35.6ʡF";"96ʡ%";"78ʡ%";"24ʡ%";"11.8ʡmph";"1.4ʡmph";"0.0ʡmph";"30.04ʡin";"29.92ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/25/2024";"79.7ʡF";"57.7ʡF";"43.5ʡF";"57.2ʡF";"49.6ʡF";"41.5ʡF";"94ʡ%";"77ʡ%";"34ʡ%";"11.8ʡmph";"1.3ʡmph";"0.0ʡmph";"30.05ʡin";"29.93ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/26/2024";"75.0ʡF";"57.9ʡF";"51.2ʡF";"57.7ʡF";"52.7ʡF";"48.7ʡF";"94ʡ%";"84ʡ%";"42ʡ%";"7.8ʡmph";"0.9ʡmph";"0.0ʡmph";"30.04ʡin";"29.93ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/27/2024";"71.7ʡF";"59.7ʡF";"52.1ʡF";"57.7ʡF";"53.0ʡF";"48.2ʡF";"95ʡ%";"81ʡ%";"46ʡ%";"8.9ʡmph";"0.9ʡmph";"0.0ʡmph";"30.01ʡin";"29.88ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/28/2024";"71.7ʡF";"58.4ʡF";"44.9ʡF";"56.1ʡF";"51.3ʡF";"43.7ʡF";"96ʡ%";"79ʡ%";"46ʡ%";"6.4ʡmph";"0.5ʡmph";"0.0ʡmph";"30.02ʡin";"29.89ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
"2/29/2024";"75.9ʡF";"58.7ʡF";"47.4ʡF";"56.6ʡF";"52.3ʡF";"46.2ʡF";"96ʡ%";"82ʡ%";"44ʡ%";"7.6ʡmph";"1.0ʡmph";"0.0ʡmph";"30.02ʡin";"29.90ʡin";"0.00ʡin";"https://www.wunderground.com/dashboard/pws/ICUENC39/table/2024-02-12/2024-02-12/monthly"
